mrt_code,mrt_name,address,floor_type,room_num,price,size,floor,parking,link
R07,東門捷運站,台北市大安區信義路二段86巷2號,整層住家,4,290000,112.29,6F/7F,無,//rent.591.com.tw/home/house/detail/2/9212290.html
BR19,內湖捷運站,台北市內湖區成功路四段294巷,整層住家,5,166200,112.37,整棟/4F,無,//rent.591.com.tw/home/house/detail/2/9446561.html
R07,東門捷運站,台北市大安區信義路二段86巷,整層住家,4,290000,112.3,6F/7F,無,//rent.591.com.tw/home/house/detail/2/9216541.html
R02,象山捷運站,台北市信義區景雲街,整層住家,5,159000,112.59,整棟/4F,無,//rent.591.com.tw/home/house/detail/2/9201476.html
BR14,大直捷運站,台北市中山區明水路581巷,整層住家,4,241300,112.6,3F/13F,無,//rent.591.com.tw/home/house/detail/2/9415912.html
BL14,忠孝新生捷運站,台北市大安區市民大道三段,整層住家,3,478400,113.23,19F/23F,無,//rent.591.com.tw/home/house/detail/2/9443426.html
BR10,忠孝復興捷運站,台北市大安區市民大道三段,整層住家,4,405900,113.23,15F/23F,無,//rent.591.com.tw/home/house/detail/2/9219677.html
BL14,忠孝新生捷運站,台北市大安區市民大道三段188號,整層住家,3,478400,113.24,19F/23F,無,//rent.591.com.tw/home/house/detail/2/9207550.html
BR23,南港軟體園區捷運站,台北市南港區重陽路,整層住家,3,200100,113.41,5F/23F,無,//rent.591.com.tw/home/house/detail/2/9423356.html
BR15,劍南路捷運站,台北市內湖區內湖路一段91巷,整層住家,6,154200,113.53,1F/7F,無,//rent.591.com.tw/home/house/detail/2/9224583.html
R19,石牌捷運站,台北市北投區行義路154巷,整層住家,5,144500,114.04,整棟/4F,無,//rent.591.com.tw/home/house/detail/2/9256008.html
BR16,西湖捷運站,台北市中山區基湖路151巷,整層住家,4,265300,114.19,4F/10F,無,//rent.591.com.tw/home/house/detail/2/9265451.html
BR19,內湖捷運站,台北市內湖區成功路四段,整層住家,4,328600,114.76,3F/23F,無,//rent.591.com.tw/home/house/detail/2/9224758.html
BR23,南港軟體園區捷運站,台北市南港區經貿二路157巷,整層住家,3,243800,114.86,20F/21F,無,//rent.591.com.tw/home/house/detail/2/9369500.html
R10,台北車站捷運站,台北市中正區南陽街,整層住家,7,604100,115.27,整棟/4F,無,//rent.591.com.tw/home/house/detail/2/9401902.html
R25,關渡捷運站,台北市北投區大度路三段270巷,整層住家,3,140100,115.37,18F/19F,無,//rent.591.com.tw/home/house/detail/2/9304283.html
O10,中山國小捷運站,台北市中山區民權東路一段77號,整層住家,1,298700,115.53,9F/16F,無,//rent.591.com.tw/home/house/detail/2/9220480.html
R03,台北101/世貿捷運站,台北市信義區松智路,整層住家,4,601200,115.62,4F/14F,無,//rent.591.com.tw/home/house/detail/2/9385039.html
R07,東門捷運站,台北市大安區信義路二段,整層住家,3,458900,115.67,3F/20F,無,//rent.591.com.tw/home/house/detail/2/9357359.html
R07,東門捷運站,台北市大安區信義路二段206號,整層住家,3,458900,115.67,3F/20F,無,//rent.591.com.tw/home/house/detail/2/8877331.html
R23,復興崗捷運站,台北市北投區稻香路,整層住家,5,96200,115.76,7F/8F,無,//rent.591.com.tw/home/house/detail/2/9369077.html
BR19,內湖捷運站,台北市內湖區康寧路一段,整層住家,4,202200,115.79,10F/15F,無,//rent.591.com.tw/home/house/detail/2/9057006.html
BR19,內湖捷運站,台北市內湖區成功路四段61巷,整層住家,4,202200,115.83,10F/15F,無,//rent.591.com.tw/home/house/detail/2/9227776.html
BR19,內湖捷運站,台北市內湖區金湖路,整層住家,2,239200,115.87,1F/26F,無,//rent.591.com.tw/home/house/detail/2/9448968.html
